"","Latitude","Longitude","Depth","MagType","Magnitude","class","Region_Arica_Parinacota","Region_Tarapaca","Region_Antofagasta","Region_Atacama","Region_Coquimbo","Region_Valparaiso","Region_Metropolitana_Santiago","Region_Libertador_General_OHiggins","Region_Maule","Region_Nuble","Region_Biobio","Region_Araucania","Region_Rios","Region_Lagos","Region_Aysen_General_Carlos_Ibanez","Region_Magallanes_Antartica"
"5973",-20.3289,-69.3326,97.1,"mb",4.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5974",-35.1411,-70.936,105.1,"mb",4.2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5975",-20.2856,-69.0945,101.7,"mb",4.2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5976",-21.9542,-71.2868,24.5,"mb",4.1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5977",-35.34,-73.0963,10,"ML",4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5978",-16.8235,-73.1585,35,"mb",4.3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5979",-22.297,-68.6263,113.1,"MW",5.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5980",-23.2633,-66.895,207.4,"mb",4.7,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5981",-20.0791,-69.1609,101,"mb",4.7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5982",-22.9188,-68.9076,103.5,"MW",4.6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5983",-28.3872,-70.1663,100.1,"mb",4.6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5984",-31.4291,-68.0149,110.6,"mb",4.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5985",-24.1863,-67.0224,195.4,"mb",4.2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5986",-34.688,-73.3873,10.7,"mb",4.3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"5987",-23.8941,-66.8152,206.2,"mb",4.4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5988",-17.5312,-69.7152,133.3,"MW",5.3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5989",-31.65,-72.261,16.8,"MW",4.5,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5990",-30.9065,-71.4492,32.2,"mb",4.6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5991",-27.4366,-69.3174,110.5,"mb",4.3,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5992",-31.5149,-68.824,105.1,"MW",4.1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"5993",-28.267,-67.453,135.6,"MW",4.9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"5994",-24.1123,-67.1523,173.1,"mb",4.8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5995",-32.1889,-72.329,13.7,"MW",4.1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"5996",-34.7989,-71.954,45.1,"mb",4.4,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
"5997",-34.9413,-72.6673,22.4,"ML",4.2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"5998",-15.6723,-70.859,167,"mb",4.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5999",-42.8124,-83.08,10,"mb",4.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"6000",-32.1717,-72.2003,8.5,"mb",4.6,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
